schluessel;Name;apothekenVorgabe
01001000;Flensburg, Stadt; 20,861   
01002000;Kiel, Landeshauptstadt; 59,877   
01003000;L�beck, Hansestadt; 53,078   
01004000;Neum�nster, Stadt; 19,450   
01051001;Albersdorf; 0,882   
01051002;Arkebek; 0,057   
01051003;Averlak; 0,154   
01051004;Bargenstedt; 0,230   
01051005;Barkenholm; 0,045   
01051006;Barlt; 0,201   
01051008;Bergew�hrden; 0,010   
01051010;Brickeln; 0,054   
01051011;Brunsb�ttel, Stadt; 3,208   
01051012;Buchholz; 0,273   
01051013;B�sum; 1,212   
01051014;B�sumer Deichhausen; 0,092   
01051015;Bunsoh; 0,203   
01051016;Burg (Dithmarschen); 1,055   
01051017;Busenwurth; 0,070   
01051019;Dellstedt; 0,195   
01051020;Delve; 0,179   
01051021;Diekhusen-Fahrstedt; 0,190   
01051022;Dingen; 0,166   
01051023;D�rpling; 0,152   
01051024;Eddelak; 0,355   
01051026;Eggstedt; 0,195   
01051027;Elpersb�ttel; 0,222   
01051028;Epenw�hrden; 0,195   
01051030;Fedderingen; 0,069   
01051032;Frestedt; 0,096   
01051033;Friedrichsgabekoog; 0,013   
01051034;Friedrichskoog; 0,628   
01051035;Gaushorn; 0,045   
01051036;Gl�sing; 0,029   
01051037;Gro�enrade; 0,123   
01051038;Groven; 0,020   
01051039;Gudendorf; 0,099   
01051043;Hedwigenkoog; 0,062   
01051044;Heide, Stadt; 5,234   
01051045;Hellschen-Heringsand-Unterschaar; 0,044   
01051046;Helse; 0,235   
01051047;Hemme; 0,131   
01051048;Hemmingstedt; 0,736   
01051049;Hennstedt; 0,492   
01051050;Hillgroven; 0,019   
01051051;Hochdonn; 0,298   
01051052;H�vede; 0,018   
01051053;Hollingstedt; 0,079   
01051054;Immenstedt; 0,026   
01051057;Kaiser-Wilhelm-Koog; 0,091   
01051058;Karolinenkoog; 0,037   
01051060;Kleve; 0,111   
01051061;Krempel; 0,152   
01051062;Kronprinzenkoog; 0,207   
01051063;Krumstedt; 0,132   
01051064;Kuden; 0,162   
01051065;Lehe; 0,271   
01051067;Lieth; 0,105   
01051068;Linden; 0,214   
01051069;Lohe-Rickelshof; 0,515   
01051071;Lunden; 0,438   
01051072;Marne, Stadt; 1,419   
01051073;Marnerdeich; 0,102   
01051074;Meldorf, Stadt; 1,827   
01051075;Neuenkirchen; 0,262   
01051076;Neufeld; 0,158   
01051077;Neufelderkoog; 0,032   
01051078;Nindorf; 0,289   
01051079;Norddeich; 0,110   
01051080;Norderheistedt; 0,036   
01051081;Norderw�hrden; 0,074   
01051082;Nordhastedt; 0,692   
01051083;Odderade; 0,081   
01051084;Oesterdeichstrich; 0,061   
01051085;Offenb�ttel; 0,069   
01051086;Osterrade; 0,109   
01051087;Ostrohe; 0,242   
01051088;Pahlen; 0,301   
01051089;Quickborn; 0,049   
01051090;Ramhusen; 0,042   
01051092;Rehm-Flehde-Bargen; 0,130   
01051093;Reinsb�ttel; 0,113   
01051096;Sankt Annen; 0,083   
01051097;Sankt Michaelisdonn; 0,903   
01051098;Sarzb�ttel; 0,184   
01051099;Schafstedt; 0,341   
01051100;Schalkholz; 0,150   
01051102;Schlichting; 0,056   
01051103;Schmedeswurth; 0,049   
01051104;Schrum; 0,020   
01051105;Sch�lp; 0,120   
01051107;Stelle-Wittenwurth; 0,115   
01051108;Str�bbel; 0,022   
01051109;S�derdeich; 0,119   
01051110;S�derhastedt; 0,217   
01051113;W�hrden; 0,330   
01051114;Tellingstedt; 0,662   
01051117;Tielenhemme; 0,041   
01051118;Trennewurth; 0,065   
01051119;Volsemenhusen; 0,088   
01051120;Wallen; 0,008   
01051121;Warwerort; 0,061   
01051122;Weddingstedt; 0,578   
01051125;Welmb�ttel; 0,115   
01051126;Wennb�ttel; 0,023   
01051127;Wesselburen, Stadt; 0,762   
01051128;Wesselburener Deichhausen; 0,031   
01051129;Wesselburenerkoog; 0,037   
01051130;Wesseln; 0,353   
01051131;Westerborstel; 0,029   
01051132;Westerdeichstrich; 0,212   
01051133;Wiemerstedt; 0,040   
01051134;Windbergen; 0,207   
01051135;Wolmersdorf; 0,085   
01051136;Wrohm; 0,172   
01051137;Nordermeldorf; 0,152   
01051138;Tensb�ttel-R�st; 0,173   
01051139;S�derdorf; 0,094   
01051140;Oesterwurth; 0,068   
01051141;S�derheistedt; 0,142   
01053001;Albsfelde; 0,017   
01053002;Alt M�lln; 0,218   
01053003;Aum�hle; 0,797   
01053004;B�k; 0,219   
01053005;B�lau; 0,062   
01053006;Basedow; 0,164   
01053007;Basthorst; 0,100   
01053008;Behlendorf; 0,095   
01053009;Berkenthin; 0,522   
01053010;Besenthal; 0,020   
01053011;Bliestorf; 0,168   
01053012;B�rnsen; 1,080   
01053013;Borstorf; 0,071   
01053014;Breitenfelde; 0,470   
01053015;Br�then; 0,070   
01053016;Brunsmark; 0,038   
01053017;Brunstorf; 0,159   
01053018;Buchholz; 0,060   
01053019;Buchhorst; 0,044   
01053020;B�chen; 1,426   
01053021;Dahmker; 0,040   
01053022;Dalldorf; 0,091   
01053023;Dassendorf; 0,781   
01053024;D�chelsdorf; 0,040   
01053025;Duvensee; 0,133   
01053026;Einhaus; 0,094   
01053027;Elmenhorst; 0,225   
01053028;Escheburg; 0,845   
01053029;Fitzen; 0,084   
01053030;Fredeburg; 0,010   
01053031;Fuhlenhagen; 0,072   
01053032;Geesthacht, Stadt; 7,269   
01053033;Giesensdorf; 0,031   
01053034;G�ldenitz; 0,059   
01053035;G�ttin; 0,015   
01053036;Grabau; 0,071   
01053037;Grambek; 0,106   
01053038;Grinau; 0,076   
01053039;Gro� Boden; 0,048   
01053040;Gro� Disnack; 0,021   
