Apo_Name1;Apo_Name2;PLZ;Ort;source
Hellweg-Apotheke;;59427;Unna;akwl
Apotheke im Kaufland;;33102;Paderborn;akwl
Elisabeth-Apotheke am Blauen See;;46284;Dorsten;akwl
Apotheke Rathaus Galerie;;58095;Hagen;akwl
Rammes Nord-Apotheke;;48429;Rheine;akwl
farma-plus Apotheke Beuth im Ruhrpark;;44791;Bochum;akwl
EinSteinApotheke;;48431;Rheine;akwl
Feen-Apotheke;;58300;Wetter;akwl
Kleeblatt Apotheke im Palais Vest;;45657;Recklinghausen;akwl
Stüwwenkopp-Apotheke;;48607;Ochtrup;akwl
Eulen-Apotheke;;59555;Lippstadt;akwl
Apotheke am Ring;;58452;Witten;akwl
Adler-Apotheke im Ärztezentrum;;48231;Warendorf;akwl
Apotheke im Pued;;44339;Dortmund;akwl
Guten Tag-Apotheke Thier Galerie;;44137;Dortmund;akwl
Neue Apotheke Derne OHG;;44329;Dortmund;akwl
Hirsch-Apotheke;;44135;Dortmund;akwl
St.Vitus-Apotheke;;33181;Bad Wünnenberg;akwl
Sintfeld-Apotheke;;33181;Bad Wünnenberg;akwl
Aatal-Apotheke;;33181;Bad Wünnenberg;akwl
Elefanten-Apotheke;;58452;Witten;akwl
See-Apotheke;;58456;Witten;akwl
Apotheke im real,-;;58453;Witten;akwl
Milan-Apotheke;;58453;Witten;akwl
Apotheke am boni-Center;;58455;Witten;akwl
Sonnen-Apotheke;;58453;Witten;akwl
Apotheke am Markt;;58456;Witten;akwl
Apotheke am Bodenborn;;58452;Witten;akwl
Westfalen-Apotheke;;58454;Witten;akwl
Salvator-Apotheke OHG;;58454;Witten;akwl
Rathaus-Apotheke;;58452;Witten;akwl
Königs-Apotheke;;58456;Witten;akwl
Hubertus-Apotheke;;58455;Witten;akwl
Hainberg-Apotheke;;58455;Witten;akwl
Engel-Apotheke;;58452;Witten;akwl
Einhorn-Apotheke;;58452;Witten;akwl
Central-Apotheke;;58455;Witten;akwl
Burg-Apotheke;;58452;Witten;akwl
Brunnen-Apotheke;;58456;Witten;akwl
Beethoven-Apotheke;;58452;Witten;akwl
Adler-Apotheke;;58453;Witten;akwl
Adler-Apotheke;;58452;Witten;akwl
Franziskus-Apotheke;;59955;Winterberg;akwl
Markt-Apotheke;;59955;Winterberg;akwl
Marien-Apotheke;;59955;Winterberg;akwl
Kur-Apotheke;;59955;Winterberg;akwl
Brücken-Apotheke-Wilnsdorf;;57234;Wilnsdorf;akwl
Rathaus-Apotheke;;57234;Wilnsdorf;akwl
Wieland-Apotheke;;57234;Wilnsdorf;akwl
Laurentius-Apotheke;;57234;Wilnsdorf;akwl
St.Vitus-Apotheke;;34439;Willebadessen;akwl
Hirsch-Apotheke;;34439;Willebadessen;akwl
Ruhr-Apotheke;;58739;Wickede;akwl
Loewen-Apotheke;;58739;Wickede;akwl
Alte Apotheke;;58739;Wickede;akwl
Ludgeri-Apotheke;;48493;Wettringen;akwl
Sonnen-Apotheke;;48493;Wettringen;akwl
DocMorris-Apotheke im Ruhrtal-Center;;58300;Wetter;akwl
Elfen-Apotheke;;58300;Wetter;akwl
Hirsch-Apotheke;;58300;Wetter;akwl
Harkort-Apotheke;;58300;Wetter;akwl
Goethe-Apotheke;;58300;Wetter;akwl
Adler-Apotheke;;58300;Wetter;akwl
Hirsch-Apotheke;;49492;Westerkappeln;akwl
Hanfrieden-Apotheke;;49492;Westerkappeln;akwl
Sonnen-Apotheke;;33824;Werther;akwl
Markt-Apotheke;;33824;Werther;akwl
Adler-Apotheke;;33824;Werther;akwl
Lippe-Apotheke;;59368;Werne;akwl
Apotheke am Solebad;;59368;Werne;akwl
Fürstenhof-Apotheke;;59368;Werne;akwl
Apotheke am Steinhaus;;59368;Werne;akwl
Post-Apotheke;;59368;Werne;akwl
St.Hubertus-Apotheke;;59368;Werne;akwl
Gerstein-Apotheke;;59368;Werne;akwl
Christophorus-Apotheke;;59368;Werne;akwl
